Anomaly,Count
Other Entered restr airspace. Unable to establish com with the ctlr prior to tkof,1
Other RESOURCE UTIL PLT FAM/W PROC,1
Other UnauthorizedFlt,1
Other FIGHTER INTERCEPT,1
Other LOST COM PROC,1
Other No Tkof Clrnc By Flt,1
Other CTLR Handeling Would not activate Ifr FLT PLAN,1
Other Blundered into prohibing airspace,1
Other Unauthorized Flt Security breach Concerns,1
Other CTLR HEAVY ACCENT,1
INTELEGABILITY CTLR HANDLING,1
Other PLT APPERANTLY VIOLATED BED CLASS D SEE AND AVOID CONCEPT,1
Other PLT WORKLOAD,1
Other Lndg Gear Warning Horn Sounded At Gear Retraction,1
Other PENETRATED MHTG CLASS A WITHOUT CLRNC,1
Other ENTERED CLASS B WITHOUT CLRNC,1
Other PROX OF RESTR,1
Other hurry up op,1
Other TFR notam not given by FSS briefer.,1
Other TFR Restr Area,1
Other COMBAT AIR PATROL AIRSPACE,1
Other FLEW THROUGH TFR FIRE AREA,1
Other VOID TIME INTERP,1
Other MAY HAVE ENTERED DAB CLASS C AVOIDED BIRDS.,1
Other FLEW BANNER TOWING ROUTE WITH OUT BANNER OR CLRNC,1
Other PROX. OF MULT ARPTS,1
Other DELEGATED AIRSPACE CONFIGN,1
Other LANDED WRONG ARPT,1
Other HOST COMPUTER FAILURE,1
Other LEFT GAS CAP OFF AFTER REFUELING. PENETRATED CLASS C WITHOUT CLRNC. PLT JUDGMENT,1
Other Entered Restr Airspace Without Clrnc.,1
Other CTLR BRIEFING,1
Other ENTER ACTIVE MOA,1
Other XPNDR CODE,1
Other SET WRONG QNH IN ALTIMETER,1
Other EMER TFC,1
Other Emer Bingo Divert,1
Other NO COORD OR COM BTWN A90 SKYWAYS CTLR AND OWD TWR CTLR,1
Other Briefing?,1
Other ENTERED TFR AREA. ENGINE PROBLEMS,1
Other F-16 EMERGENCY DESCENT,1
Other TFC PATTERN PROC,1
Other BUZZING,1
Other CLRNC INTERP-FLT PLAN HANDLING PROC,1
Other COM INTERUPTIONS,1
Other FREQ USED,1
Other ATC ALTITUDE,1
Other FOREST FIRE RELATED TFRS,1
Other ATC RESPONSE,1
Other POLAR PROCS,1
Other PLT TECH/NAV,1
Other PLT DID NOT HAVE SPECIFIC CLRNC TO ENTER A80 CLASS B,1
Other PLT BLUNDERED INTO FLG CLASS D WITH OUT CLRNC,1
Other COM PROCS,1
Other UNFAM W/OP,1
Other INSTR SUPERVISION OF STUDENT PLT,1
Other TFR NOT GIVEN BY EITHER FSS BREAFER ON ZNY CTLR,1
Other LOW FLT BUZZING,1
Other FLC PLANNING COM TECH,1
Other WRONG RWY LNDG LOST COM,1
Other COORD W/ATC,1
Other MOST LIKELY ENTERED ORD CLASS B. SUPERVISION OF STUDENT. ISTR,1
Other NORAC-NOT XPONDR ACFT NO RADAR RETURN,1
Other SEVERAL ATTEMPTS TO CONTACT TWR FAILED,1
Other RESTR AREA ALT DEV,1
Other INSTR SUPERVISION,1
Other ATC Radar Failure,1
Ctlr Did Not Revert To Non-Radar Procs.,1
Other Pilot Unfamiliar w/Proc,1
Other Ball Note MUFH ZMA Com Requirements,1
Other Entered P-49,1
Other Lost Visual Contact and Did Not Advise Ctlr,1
Other Plt forgot to install GPS database down loaded that day int the GPS system.,1
Other Low Fuel Emer,1
Other URET ANOMALY,1
Other Pressurization Emer,1
Other Oceanic Transition Alt Requirements,1
Other Radar Equipment,1
Other unknown,1
Other Radio Communication Problems,1
Other Late No Handoff,1
Other TCAS 2 Use,1
Other ATC Miscalculation,1
Other Oceanic Traffic Conflict,1
Other Back Taxi,1
Other Traffic Volume,1
Other attitude plt and ctlr,1
Other atc procedures,1
Other tcas ra,1
Other ctlr tech,1
Other Contract Tower,1
Other TCAS RA IN DFW CLASS B,1
Other Non Standard ATC Procedures,1
Other ATC Radar Glitch,1
Other Touch And Go Without Clearance,1
Other TCAS 2 Mel'd,1
Other JUDG OF TFC SP.,1
Other UNK TFC?,1
Other Intentional Off Runway Landing,1
Other Ctlr Tech,1
Other MULTIPLE INSTRUMENT FAILURES,1
Other CTLR WORK LOAD,1
Other UNAUTH. FORMATION FLT,1
Other Runaway Not Clear,1
Other COM TECH / ACFT CONFIGN,1
Other Acft Performance927,1
Other Simult Arr/Dep,1
Other Atc Goof,1
Other AMENDEO ACT,1
Other RIGHT OF WAY SEE / AVOID,1
Other ACFT I PROX OF APCH ROUTE,1
Other SPEED AVOID CONCEPT,1
Other TAPE REVIEW,1
Other ACFT DESIGN,1
Other TFC/FREQ CONG.,1
Other ATC OPERROR.,1
Other ATC CONFUSED,1
Other TURN GIVEN WRONGWAY,1
Other Technique Atc Sim A/N,1
Other Prox Of Heliport,1
Other Dropped Tag,1
Other EXPECTATIONS,1
Other SYSTEM ERROR,1
Other ACFT EQ USE/DESIGN/MALFUNCTION,1
Other atc proc,1
Other ATC. Handling,1
Other ATC HANPLING,1
Other NOISE ABATEMENT CLIMB OUT PROCEDURES.,1
Other TCASI TA,1
Other Fac Intra Coord,1
Other ATC PROC / HANDLING,1
Other TCAC.RA,1
Other TAXI ROUTING,1
Other CLRNL INTERP,1
Other VIS. INTERF,1
Other Arpt VOH/Freq Error,1
Other FLC JUDGMNT TFC SPACING,1
Other IN TRAIL/WAKE TURB SEP,1
Other FLC FAM / ARPT,1
Other COM TECH FLC/ATC,1
Other CARELESS + REC. + ATC HANDLING,1
Other ATC JUDGMENT,1
Other UNAUTH TICOF,1
Other BELOW MVA,1
Other WRONG TFC ADVISORY NO TCAS ON LEAR,1
Other FAC INTRA COORD,1
Other CTAF NON USE,1
Other CLRNC / READBACK,1
Other CTLR DID NOT USE PROPER PRO CREW IGNORED TCAS RA,1
Other RWY IN USE FAC COORD,1
Other WRONG ACFT ID,1
Other PLT JUD OF TFC SPACING,1
Other ATC COORD / PROC,1
Other CONTRACT TWR,1
Other COMMUNICATION BETWEEN X + ATC,1
Other CTLR WORK LOAD TRACON STAFFING,1
Other SIMILAR ACFT,1
Other Nordo Tfc Prox Of Rwys,1
Other ATC CALLED WRONG FLT #,1
Other SEH-PRESS,1
Other ATL CTLR QUAL/PROF/COORD,1
Other ACFTX ON WRONG TRANSPOUNDER CODE,1
Other CTLR COULD HAVE BEEN MORE EXPLICT IN DIRECTIONS TO ACFT X,1
Other NON DETECT BY CTR RADAR,1
Other ATC PROC / POINT OUT,1
Other ISSUED CLRNC TO WRONG ACFT,1
Other ATC RADAR EQ PROB,1
Other Freq used/ see and avoid,1
Other PROX OF DEP RTE,1
Other atc. proc,1
Other PROX OF KNOWN TFC,1
Other IMPROPER CTLR VISUAL ASSIGNMENT,1
Other CRM / DISTR,1
Other TCAS II MEL'D,1
Other V.D. QUAL,1
Other DUPLICATE BEACON CODES,1
Other PLT JUDGEMENT / TFC SPACING,1
Other FLC RESPONCSE,1
Other MULTIPLE TCAS RA'S CREW TRAINING,1
Other ATC JUDGEMENT OF TFC SPACING,1
Other FREQ CHANGE/PREMATURE,1
Other PLT INDUCED INST. FAILURE IN IMC,1
Other COM TECH FLC/ CTLR,1
Other VISUAL SEPARATION IN CLASS A,1
Other PARKING SPACE,1
Other INTER FAC COORD,1
Other CREW IGNORED TCAS RA GUIDANCE,1
Other Ctlr. workload,1
Other CTLR OPERATIONAL ERROR,1
Other INTEGRATED S46 TRACON RADAR AT ZSE,1
Other PARKINGS SPACE ALLOCATION,1
Other POSSIBLE LNDG WITHOUT CLRNC,1
Other EQUIP DESIGN/ACFT AGE,1
Other SIMILAR CALL SIGNS. ATC WORKLOAD,1
Other CTLR ATTITUDE TOWARD TCAS,1
Other APCH PATH ENROACHMENT,1
Other CTLR CONFUSION ACFT ID,1
Other ARPT VOLUME AND CAPACITY,1
Other GND PERSONNEL MOVEMENT NEAR RUNNING ENGINE,1
Other TCAS RA RESPONSE,1
Other FLC DISTR/EQ PROB,1
Other CARGO COMPARTMENT HEAT,1
Other LACK OF COM,1
Other Ctlr distraction,1
Other NO TCAS ACFT Y,1
Other NUMBERS ACFT ID,1
Other FLC JUD/TFC SEP,1
Other ATC SPACING,1
Other FAA Mgmnt Directed Operational Decision Override,1
Other TRAFFIC DESITY SEE AND AVOID,1
Other ARPT OBSTRUCTION,1
Other Wrong Frequency,1
Other ATC MONITORING,1
Other Non Twr Arpt,1
Other PARKING PROCEDURE,1
Other Loss Of Com Freq,1
Clrnce Readback,1
Other Ctlr Planning,1
Other System Error Or Op Dev,1
Other IMPROPER SPACING ON PRECEDING ACFT,1
Other Clred thru occupied altitude,1
Other DESC TO OCC ALT,1
Other Cost Cab Press,1
Other NON STANDARD CTLP PHRASEOLOGY,1
Other Central flow ctl wx rertes.,1
Other CLRNC INTERP PHRASEOLOGY,1
Other DEP WAKE TURBULENCE SEPARATION CRITERIA,1
Other ctlr distr,1
Other CTL SECTOR TRAFFIC MGMNT,1
Other LOST TFC,1
Other LESS THAN LEGAL SPACING CLRNC READBACK,1
Other APCH TO OCC.RWY,1
Other Sim A/N,1
Other CLRNC INTERP/LEGALITY,1
Other ATC SPACING CTL,1
Other Company Supervision of Istrs.,1
Other DRIVER QUAL,1
Other APCH PROC DESIGN,1
Other Ctlr Workload,1
Other Wx Avoidance,1
Other Crew Briefing. Capt Giving FO IOE.,1
Other CTLR OVERLOAD,1
Other ATC HANDOFF,1
Other RAMP OPERATION,1
Other ACTIVE M.O.A.,1
Other HAD COORDINATED TCAS RA,1
Other PARACHUTE JUMP ACTIVITY ON MOTIF 2 ARRIVAL TO MDW. SEE AND AVOID CONCEPT,1
Other TXWY MARKINGS/LIGHTING,1
Other UNKNOWN TFC,1
Other MILITARY FIGHTER IN A VERTICAL CLIMB,1
Other SECTOR TRAFFIC MGMNT,1
Other VISUAL INTERFERENCE,1
Other CLIMB THRU OCCUPIED ALT. DSCNT THRU OCCUPIED ALT,1
Other Unk Tfc In Area.,1
Other EARLY TURN BY ACFT Y,1
Other POOR CTLR HANDLING TECHNIQUE,1
Other FLC DIST/CTLR WORKLOAD,1
Other VISIBILITY RESTRICTION/SUN POSITION,1
Other CTLR CLRED ACFT THROUGH OCCUPIED ALT,1
Other hvy vfr tfc at arpt. ctlr let too muxh tfc get too close to arpt.,1
Other ACFT IDENTIFICATION,1
Other RAMP OP/CONGESTION,1
Other TFC SPACING/RATE OF TURN,1
Other TFC CTLR JUD TFC SPACING,1
Other HDG ASSIGNMENT,1
Other rwy assignment dropped,1
Other WINGWALKER QUAL,1
Other CTLR TRIED TO GIVE A HOLD SHORT AFTER LNDG WHEN CREW PREVIOUSLY REFUSED LAHSO,1
Other STU. PLT RESPONSE,1
Other POOR FORWARD VISIBILITY T-6,1
Other ERRATIC  OP,1
Other WRONG ATC FREQ,1
Other TRANSPONDER CP PROC,1
Other PROX OF RWY,1
Other unclear instructions,1
Other ARPT PLAN,1
Other did not declare an emer,1
Other CLTR UNABLE TO COM WITH LNDG C-172,1
Other HAD STRENGHTENED TCAS RA CLB,1
AND THEN ANOTHER RA,1
Other CTLR PERCEPTION DISTR,1
Other FEFUELING TRACK,1
Other CTLR TOLD PLT HE WAS #2 RATHER THAN #3,1
Other ACR ALLOWS VFR OPS,1
Other OPPOSITE DIR TRAFFIC/ RWY,1
Other CTLR TRAINING IN PROGRESS AT TWR,1
Other CTLR DIDN'T SEPERATE ACFT IN IMC,1
Other CLRNC INTO POSTION RESCINDED,1
Other CTLR HANDLING CTLR AND CREW TECHNIQUE,1
Other PLT OF SMALL ACFT STARTED TO CLB,1
FOR UNKNOWN REASONS,1
Other WRONG ACFT RADAR IDENTIFIED,1
Other gnd tfc spacing,1
Other ramp tfc/congestion,1
Other Apch Proc,1
Other NO WING WALKERS,1
Other Intrail sep,1
Other Wrong Rwy Apch/Lndg,1
Other ATC LOST RADAR CONTACT,1
Other DEP TECHNIQUE ATC/FLC,1
Other Fighter Plt Did Not Follow Procedures,1
Other AUTO PLT DISCONNECT WARNING VOLUME,1
Other localizer failure,1
Other Opp Dir Tec,1
Other Jetway Parking,1
Other Acft Parking Proc,1
Other Capt Ignored the requirment for legal alternate and flew with illegal flt release,1
Other cfi behavior,1
Other PA 44 PLT DID NOT MAINT PROPER SPACING FROM CLOUD DECK,1
Other FOREIGN AIR SPACE,1
Other Clrnc Interp ATC Proc/Tech,1
Other OFF RWY TKOF,1
Other Held On Rwy By Atc,1
Other OFF COURSE VECTORING,1
Other GOT BEHIND DRAG CURVE AT HIGH ALT CREW CONCEPT,1
Other RADAR ADVISORIES,1
Other EITHER OPERROR OR PLT DEV,1
Other DOWNWIND TKOF,1
NO TRAFFIC WATCH. NMAC SEE AND AVOID CONCEPT,1
Other SEE AND AVOID CONCEPT. FUNNELED TFC THROUGH PASS,1
Other HOLDING INTXN NOT DEPICTED ON RADAR,1
Other Non Twr Arpt Self Announce3,1
Other VIS SEP CLB,1
Other AMENDED ROUTE,1
Other FLC DISTR/PLANNING TECH FLYING,1
Other ILLEGAL TRAINING,1
Other OVERTAKING TFC ON PARALLEL APCH/FINAL,1
Other SIM CALL SIGN-CTLR CONFUSED #S,1
Other ARR/DEP TFC,1
Other MVA'S,1
Other ATC HANDLING TRNG IN PROG,1
Other TRAINING ACTIVITY,1
Other DSCNT THROUGH OCCUPIED ALT,1
Other CTLR HANDLING PLT DEV,1
Other Rate Of Climb,1
Other ACFT NOT ON IFR CLRNC IN IMC CONDTIONS,1
Other Ctlr Relief Briefing,1
Other CIRCLING APCH TO MDW. CTLR HANDLING,1
Other AIRSPACE SECTORIZATION,1
Other CRM-COCKPIT COORD,1
Other EITHER PLT DEV OR OP ERROR,1
Other OBSTRUCTION CLRNC,1
Other TXWY MARKINGS,1
Other Visual Sep,1
Other ILS HOLD LINE PLACEMENT,1
Other PARKING SPACE/PROC,1
Other TFC Volume,1
Other Cut Out Acft That Took Off Ahead Of Him.,1
Other INTRAFAC COORD,1
Other PLT USED WRONG UNICOM FREQ TO MAKE TFC ANNOUNCEMENTS,1
Other SITUATIONAL AWARENESS LOSS BY BOTH ACFT PLTS,1
Other ATC PROC/FLC PROC,1
Other TXWY MARKING/SIGNAGE,1
Other TPA-AF/D,1
Other MAP/DEP PROC COMPATIBILITY,1
Other PLT CUT OTHER PLT OUT OF TFC PATTERN PLT BELLINGERENT. SEE AND AVOID,1
Other BLOCK ALT,1
Other LACK OF ACFT SPACING,1
Other SEP STDS,1
Other FOOD POISONING FROM COMPANY PROVIDED CREW MEAL,1
Other CTLR Handeling. Twr Clred Acft To Cross Rwy That An ACR Jet Had Begun Tkof On.,1
Other TIGHT APCH,1
Other ATC ERROR,1
Other FLC INITIATED GAR,1
Other VISUAL APCH SPACING,1
Other TFC SPACING CTL SOCAL/BAY APCH,1
Other TRAFFIC LOST,1
Other SEE AND AVOID CTLR HANDLING,1
Other WAKE TURB SEPEARTE AND TERMINOLOGY,1
Other CTLR HANDLING CAPT TOLD FO NOT TO GAR,1
Other READ/HEARBACK,1
Other UNPROOF ATT,1
Other RADAR MONITORING,1
Other CTLR TRAFFIC SPACING,1
Other TRAINING DISTR,1
Other OTHER ACFT EMER LANDED ON RWY WHILE RPTR STILL ON RWY,1
Other UNK VFR TFC NO ADVISORY,1
Other POP UP TFC,1
Other FREQ SELECTION,1
Other AEROBATIC ACTIVITY,1
Other NORAC VFR TRAFFIC,1
Other CTLR/COMPLACENCY,1
Other CTLR HANDLING TFC DENSITY,1
Other CLIMB THROUGH OCCUPIED ALT,1
Other ROUTE PLANNING,1
Other ATC HANDLING FLC RESPONSE,1
Other ACFT ON RWY,1
Other UNAUTHORIZED TKOF,1
Other ATC HANDLING NO ADVISORIES,1
Other APCH/LNDG ON OCC RWY,1
Other SPACING,1
Other CTLR HANDLING FAA POLICY,1
NOISE ABAETEMENT PROCEDURE,1
Other PROX OF APCH RTE/AIRWAY,1
Other RWY CHG ATC PROC,1
Other FAC INTRA FACILITY COORD PROB,1
Other POSITION RELIEF,1
Other ATC WORK LOAD,1
Other WAKE TURB SPACING,1
Other ATC CLRNC/ HANDLING,1
Other XPNDR OP PROC (Y),1
Other ATC/FLL PLANNING,1
Other CTLR KNOWLEDGE,1
Other WAKE TURB SEPARATION,1
Other CANCELLED IFR TO FLY VISUAL APCH. CONDITIONS IMC,1
Other SCANNING,1
Other CTLR FAM W/ACFT PERF (X),1
Other MISPARKED A/C UNIT,1
Other TFC CONGESTION IN ENVIRONMENT,1
Other SECURITY ISSUE,1
Other ATC Duty Priority,1
Other Ctlr Scanning,1
Other CLRNC INTERP AND VIS. INT,1
Other DEV FROM RWY HDG,1
Other WEATHER ADVISORY,1
Other STRIP ID,1
Other PROX OF MULT ARPTS,1
Other CIRCLING A CTL BOUNDRY,1
Other ARTCC RADAR CTLR MILITARY CTLR INTER FAC COORD FAILURE,1
Other Interfac Coord Radar Coverage,1
Other RADAR SERVICES,1
Other ACFT EQ DESIGN,1
Other TRACKED TARGET TAG AUTOMATION PROB,1
Other VFR DEP'S ON APCH RTE,1
Other WAKE TURB AVOID PROC,1
Other ACFT VIS SIG,1
Other CTLR HANDLING. SEE AND AVOID CONCEPT,1
Other PROX OF DEP ROUTE,1
Other Position Rpting,1
Other VISUAL CLIMBS THRU OCC ALT,1
Other TCAS RA SEE AND AVOID,1
Other ATC PROC TCAS FALSE WARNING,1
Other ATC PROCS WORKLOAD,1
Other PLT AGGRESSION,1
Other TFC ADVISORY PROC,1
Other ATC PLANNING TFC SPACING,1
Other APCH CONGESTION,1
Other TRANSMITTER PROBS ON BOTH VHF'S SEE AND AVOID,1
Other CLB THRU/TO OCC ALT,1
CRM ALT CHANGE PROTOCOL,1
Other DIST/CONVERSATION,1
Other PROX OF OBSTR,1
Other VIGILANCE/CTLR,1
Other WRONG ACFT SIGHTED- LNDG RWY NOT ID'D,1
Other LANGUAGE BARRIER PLT Y,1
Other ACFT PERFORMANCE ENVELOPE BREACHED,1
Other TFC SPACING,1
Other ATC RADAR COVERAGE,1
Other CTLR TECH/TRNG,1
Other FLT GND CREW COORD,1
Other CLB THRU OCC ALT VIS SEP,1
Other TKOF ON OCCUPIED RWY,1
Other FLC/GND CREW COORD OSTR/NOT LIT,1
Other ACFT OVERTAKE,1
Other FALSE WARNING ISSUED TO WRONG RWY,1
Other Prox of Multiple Arpts,1
Other See and Avoic Concept. CTLR Handeling TFC Density.,1
Other TFC SPACING AND APCH TO WRONG RWY,1
Other AMASS ALERT,1
Other Twr Split Freq.,1
Other CTLR Handeling Tfc Density,1
See and Avoid,1
Other RATE OF CLB (X),1
Other NO COM USED BY EITHER ACFT,1
Other Plt Attitude,1
Other ATC Flt Plan Processing,1
Other UNPLANNED LAHSO,1
Other Ctlr mixed up acft and tried to turn them into each other.,1
Other Acft Y Did Not Follow Ctlr Intructions,1
Other Military Fighters In Vertical Clb,1
Not in Contact with ATC,1
Other See and Avoid. FAA Policy VFR,1
IFR Separation,1
Other See and Avoid. Ctlr Handling930,1
Other Crew Scheduling/Tracking,1
Other Ctlr Distr.,1
Other Readback Error,1
Other Non Compliance With Letter Of Agreement.,1
Other Vis Inter,1
Other Arpt Construct Activity,1
Other Crew Brief/ Fam w/ Proc,1
Other VFR TFC No Seperation Criterion,1
Other Potential Conflict ATC Procs,1
Other FMS Op Proc Perception,1
Other Acft Misidentification,1
Other Scanning,1
Other Descent Thru OCG Alt,1
Other P-31 Radar Coverage,1
Other Loss of Sit Aware,1
Other Tower Height,1
Other Atmosphere Conditions,1
Other Atc Com,1
Other Blocked Freq,1
Other Auto Plt Fail Capture,1
Other Uncoord Climb Clrnc Another Ctlr's Airspace.,1
Other Plt Descended Without Approval,1
Other CRM/Coord,1
Other Alt Alert Setting Proc,1
Other No Handoff,1
Other Mode C Readout,1
Other TFC Pat Proc,1
Other Ctlr Intrafac Coord,1
Other Vis Separation on Dep,1
Other TFC Patt Proc,1
Other Missed Clrnc,1
Other Acft Jurisdiction,1
Other Wrong Alt For Direction of Flt,1
Other Mult Acft On Rwy Parked,1
Other Atc Radio Failure,1
Other Conflicting Tfc,1
Other Congested Unicom Freq,1
Other Radio Freq Congestion,1
Other Tfc Spacing,1
Other Run-Up Area Clrnc From Rwy,1
Other Atc Hanlding,1
Other Publication Defic/Atc Proc,1
Other Lost Sep W/ Norac Tfc,1
Other SCK Press,1
Other No Radar Target,1
Other Failure To Clear Rwy Forced Following Acft To Go Around,1
Other Military Trainer,1
Other Antenna Obstruction,1
Other Acft ID,1
Other Plt Y Not Following Ctlr Intructions,1
Other Crew Called Arpt Insight When Apch Ctlr Turned Acft Away From Arpt,1
Other Incorrect Altimeter Broadcast,1
Other Clrnc readback,1
Other Landed below FAR reserve fuel.,1
Other FAM. W/ ARPT,1
Other TFC PATT PROC - CLRNC INTERP,1
Other Ctl Of UAV,1
Other Attitudes Right Of Way,1
Other SIM Call Signs,1
Other Traffic Pattern Vs Apch Ctl Sequencing,1
Other Ctlr Rwy Changes,1
Other Arpt Congestion,1
Other P50 ARRIVAL PROC,1
Other VHF Atc Radio Dead Spot,1
Other VFR Visual Arrival Rte,1
Other Ctlr Planning Tech-Com,1
Other Acft Assigned Occupied Alt,1
Other Ctlr Vectored Apch To Wrong Rwy,1
Other PATTERN SEQUENCE,1
Other Speed Ctl Proc,1
Other Data Block Drop,1
Other Radar & VHF Freq Outage,1
Other Plt Left With Insufficient Fuel,1
Other Wrong Alt For Direction Of Flt,1
Other Dep Ctlr Clred Acft To Clb Thru Occupied Alt,1
Other Acft Skud Running,1
Other Atc Coord Planning,1
Other Freq Long,1
Other Dep Ctlr Did Not Advise Of Tfc TCAS Should Have Been Rendered Inop.,1
Other Company Policy Vs. Published Procs. ATC Instructions,1
Other WINDS,1
Other Descent Thru occupied Airspace,1
Other OPPOSITE DIRECTION AIRWAY,1
Other ATC Proc's Into HPN,1
Other COM MIX UP,1
Other Rejecting Proposed Arr/Dep Proc,1
Other LOSS OF RADAR ID,1
Other AUTOLAND APCH PROC,1
Other APCH TO OCCUPIED RWY,1
Other Overflight of TFC in Position on RWY,1
Other CTLR MIS ID TRAFFIC,1
Other Similar Callsign,1
Other ATC Radio,1
Other Phraseology (ICAO),1
Other RWY CLRNC,1
Other ATC COM FAILURE,1
Other UNK VFT TFC,1
Other WAS ON AUTO PLT PRESET ALT,1
Other PARALLEL/SIMIL APCHS,1
Other POOR CTLR HANDLING,1
Other NON RESPONSE TO COM WARNING SYS,1
Other ATC Proc/ Coord,1
Other Conflicting R/A's,1
Other CTLR SUPVR Interference,1
Other LCL CTLR Workload Clrnc Interp,1
Other Non Detection By Center Radar,1
Other Readback error,1
Other ATC and TCAS separation dispute,1
Other Ctlr Staffing,1
Other Pop-Up Traffic,1
Other Temporary Tower Operation,1
Other Balloon Meet,1
Other Low at Excessive Bank Angles on Dep,1
Other FLC Attitude,1
Other Unauth Form Flt,1
Other Hold Line Marking Position,1
Other Norad TFC,1
Other Judgement of Traffic Spacing.,1
Other Possible Tkof w/o Clrnc,1
Other Ctlr Judgement,1
Other Phraseology And No Traffic Advisory,1
Other 2 Acft Touched In Formation,1
Other ATC Failed to Note Flt Plan Routing,1
Other Same ACT Assign by ATC,1
Other Non Compliance w/TCAS Advisory,1
Other Transponder Swith Design,1
Other Noise Abatement Proc,1
Other Plt Used Wrong Dep Freq,1
Other RECKLESS OP,1
Other Wrong Runway Takeoff,1
Other LNDG On Occured RWY,1
Other Ramp Congestion,1
Other Time,1
Climb,1
Clrnc,1
Other Failed to R.S.A.,1
Other CLTR Technique,1
Other Stopped Descent,1
Other Ctlr Work Load,1
Other Deliberate VFR FLT in Class A,1
Other 1,1
Other Rate of Descent,1
Other ACFT UNLIGHTED,1
Other Landed Wrong RWY,1
Other ATC Handbook / Proc,1
Other Uncoordinated,1
uncoordinated ATC Operation,1
Other Landed On Wrong Runway,1
Other Ignored TCAS II RA,1
Other RA Late Due To Equipment Limits,1
Other Facility Staffing,1
Other CTLR TRAINING,1
Other CHALLENGE TO P.I.C.,1
Other Acft On Rwy,1
Other Emergency Descent / Pressure Problem,1
Other Closed RWY,1
Other Takeoff On Taxiway,1
ATC,1
Other LANDED ON CLOSED RNWY,1
Other FLEW TOO LOW,1
Other Control Actions,1
Other ATC Not Using Std English Terminology,1
Other Wake Turb Takeoff Internal,1
Other ACR Departed On VFR PLN.,1
Other Read Back/ Hear Back,1
Other Controller Judgement,1
Other Intrafacility Coordination,1
Other TCAS TA Distraction,1
Other In Trail Separation,1
Other Visual Signature,1
Other Call Signs,1
Other Last Minute Runway Crossing Clearance Causes Potential Conflict,1
Other Wake Separation Not Adequate,1
Other Clipped Transmissions / Clearance / Readback,1
Other Aggression,1
Other Traffic Not Reported In Sight,1
Other Coordination Judgement,1
Other DCA Visual Departures,1
Other Poorly Designed TCAS,1
Other Signage Phraseology,1
Other MIL POLICY/PROC,1
Other LCL Atc Judgement,1
Other Notam Error,1
Other Closely Spaced Visual Apchs,1
Other Questionable ATC Phraseology,1
Other Hazardous Flying,1
Other Parallel Tfc GAR,1
Other Acft Call Sign Confusion,1
Other Reckless OPNS,1
Other Closed Rwy Creates Need For Rwy 10 Dep,1
Other Transmit On Wrong Frequency,1
Other Adjacent Fac Ctlr Performance,1
Other Incorrect Alt For Direction Of Flt On Airway,1
Other ZME CTLR Techniques,1
Other Atc Local Ctlr Error,1
Other Visual Separation Procs,1
Other Lack Of ATC Tfc info,1
Other Disputed Uncont Tfc Priority,1
Other ATC Procedures And Phraseology,1
Other Dep Proc,1
Other Radio Equip Failure,1
Other Wide Radius,1
Night Performance Acft Turning,1
Other Mistaken I.D.,1
Other AMASS Alert,1
Other Ctl Technique,1
Other Potential Rwy Incursion,1
Other CTAF Airfield With Unannounced Acft On Rwy,1
Other Disconnected Tow Bar Prior To Pushback,1
Other ATC Sequence Procs,1
Other ATC Clrnc Confusion,1
Other Equip Problem,1
Other Helio Debris,1
Other Airspace Proximity,1
Other Mountain Wave,1
Other Photo Mission,1
Other ATCT Com Failure,1
Other Twr Ops Hours,1
Other Nosewheel Stop Line Location,1
Other Combined Positions,1
Other Construction Vehicle Violation,1
Other Questionable ATC,1
Other Flt Crew Fuel Concern,1
Other Trng Policy,1
Other Special Ops,1
Other Phraseology Confusion,1
Other Technique,1
Other Late Descent Clrnc With Crossing Restriction,1
Other Incompatible Cruise Machs,1
Other Malfunctioning Auto Park System,1
Other Apch Ctl Proc/Notam Clarity,1
Other Late ATC Traffic Call,1
Other Mistaken Call Signs,1
Other AMASS Alert Go Around,1
Other Lost Acft,1
Other Non Standard Dep Maneuvering,1
Other Parachute Ops,1
Other ATC Spacing Procs,1
Other Combined Pos Ops,1
Other Lack Of TFC Info,1
Other TIPH Procs,1
Other Passenger Physiological Emergency,1
Other Poor Situational Awareness,1
Other NOTAM Anomoly,1
Other Military Ops,1
Other Navaid Malfunction,1
Other Intra/Inter Fac Coord,1
Other Radio Com Problem,1
Other Airshow Ops,1
Other Com Snafu,1
Other Loss of Situational Awareness,1
Other UNICOM Overload,1
Other Unsafe Ramp Ops,1
Other ATC Separation Judgement,1
Other Snow Mounds,1
Other Traffic Pattern Event,1
Other CTAf Dispute,1
Other Same Alt/Opp Dir Tfc,1
Other ATC XMITTER FAILURE,1
Other ACR STAR IN HEAVY LIGHT ACFT TRAFFIC AREA,1
Other CONFLICT WITH POSSIBLE HIJACKED ACFT,1
Other HIGH DSCNT RATE JUMP ACFT. DID NOT ANNOUNCE 2 MIN TO JUMP,1
Other RADIO COM PROBLEM DEAD SPOT,1
Other INFORMATION DISSEMINATION,1
Other ATC HANDLING CTLR GAVE CLRNC TO TAXI AND DID NOT KNOW WHERE ACFT WAS,1
Other CTLR LOST TRACK OF ACFT,1
Other LANDING GEAR EXTENSION DELAY,1
Other IDENTIFIED WRONG ACFT. CTLR HANDLING,1
Other LANGUAGE PROBLEM WITH ATC CTLRS AT INTL STATION,1
Other SELF ANNOUNCE PROCS,1
